Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
True,CCAFS,,0,LEO,SpaceX,"Success
",F9 v1.07B0003.18,Failure,4 June 2010,18:45
True,CCAFS,,0,LEO,NASA,Success,F9 v1.07B0003.18,Failure,4 June 2010,18:45
True,CCAFS,,525 kg,LEO,NASA,Success,F9 v1.07B0004.18,"No attempt
",8 December 2010,15:43
True,CCAFS,,"4,700 kg",LEO,NASA,"Success
",F9 v1.07B0005.18,No attempt,22 May 2012,07:44
True,CCAFS,,"4,877 kg",LEO,NASA,"Success
",F9 v1.07B0006.18,"No attempt
",8 October 2012,00:35
True,VAFB,,500 kg,Polar orbit,MDA,Success,F9 v1.07B0007.18,Uncontrolled,1 March 2013,15:10
True,CCAFS,,"3,170 kg",GTO,SES,Success,F9 v1.17B10038,No attempt,29 September 2013,16:00
True,CCAFS,,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,3 December 2013,22:41
True,Cape Canaveral,,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,6 January 2014,22:06
True,Cape Canaveral,,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,18 April 2014,19:25
True,Cape Canaveral,,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,14 July 2014,15:15
True,Cape Canaveral,,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",5 August 2014,08:00
True,Cape Canaveral,,"2,216 kg",LEO,NASA,Success,F9 v1.1[,Uncontrolled,7 September 2014,05:00
True,Cape Canaveral,,"2,395 kg",LEO,NASA,Success,F9 v1.1[,Failure ,21 September 2014,05:52
True,Cape Canaveral,,570 kg,HEO,USAF,"Success
",F9 v1.1[,Controlled,10 January 2015,09:47
True,Cape Canaveral,,"4,159 kg",GTO,ABS,"Success
",F9 v1.1[,No attempt,11 February 2015,23:03
True,Cape Canaveral,,"1,898 kg",LEO,NASA,"Success
",F9 v1.1[,Failure,2 March 2015,03:50
True,Cape Canaveral,,"4,707 kg",GTO,,"Success
",F9 v1.1[,No attempt,14 April 2015,20:10
True,Cape Canaveral,,"1,952 kg",LEO,NASA,Failure,F9 v1.1[,Precluded,27 April 2015,23:03
True,Cape Canaveral,,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1[,Success,28 June 2015,14:21
True,VAFB,,553 kg,LEO,NASA,"Success
",F9 FT[,Failure,22 December 2015,01:29
True,Cape Canaveral,,"5,271 kg",GTO,SES,"Success
",F9 v1.1[,Failure,17 January 2016,18:42
True,Cape Canaveral,,"3,136 kg",LEO,NASA,Success,F9 FT[,Success,4 March 2016,23:35
True,Cape Canaveral,,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,8 April 2016,20:43
True,Cape Canaveral,,"3,100 kg",GTO,Thaicom,"Success
",F9 FT[,Success,6 May 2016,05:21
True,Cape Canaveral,,"3,600 kg",GTO,ABS,"Success
",F9 FT[,Failure,27 May 2016,21:39
True,Cape Canaveral,,"2,257 kg",LEO,NASA,"Success
",F9 FT[,Success,15 June 2016,14:29
True,Cape Canaveral,,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,18 July 2016,04:45
True,VAFB,,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT[,Success,14 August 2016,05:26
True,KSC,,"2,490 kg",LEO,NASA,"Success
",F9 FT[,Success,14 January 2017,17:54
True,KSC,,"5,600 kg",GTO,EchoStar,"Success
",F9 FT[,No attempt,19 February 2017,14:39
True,KSC,,"5,300 kg",GTO,SES,Success,F9 FT[,Success,16 March 2017,06:00
True,KSC,,C,LEO,NRO,"Success
",F9 FT♺[,Success,30 March 2017,22:27
True,KSC,,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT[,No attempt,1 May 2017,11:15
True,KSC,,"2,708 kg",LEO,NASA,"Success
",F9 FT[,Success,15 May 2017,23:21
